Source,Target,Type,Id,Label,timeset,Weight
RENLY,TOMARD,Undirected,534,,,2
RHAEGAR,ROBERT,Undirected,535,,,6
RHAEGO,VISERYS,Undirected,536,,,2
RICKARD_KARSTARK,ROBB,Undirected,537,,,52
RICKARD_KARSTARK,THEON,Undirected,538,,,4
ROBB,STANNIS,Undirected,539,,,11
ROBB,VARYS,Undirected,540,,,4
ROBERT,ROS,Undirected,541,,,2
ROBERT,TOMMEN,Undirected,542,,,4
RODRIK,TYWIN,Undirected,543,,,2
SANSA,STANNIS,Undirected,544,,,8
STANNIS,TOMARD,Undirected,545,,,2
THEON,WILL,Undirected,546,,,2
TYRION,TYSHA,Undirected,547,,,2
TYRION,VARYS,Undirected,548,,,511
ARYA,JAQEN,Undirected,551,,,346
DAVOS,STANNIS,Undirected,552,,,316
JON,YGRITTE,Undirected,553,,,286
ROBB,TALISA,Undirected,554,,,197
ARYA,TYWIN,Undirected,555,,,103
THEON,YARA,Undirected,559,,,218
DAENERYS,XARO,Undirected,561,,,80
JON,QHORIN,Undirected,565,,,73
SANSA,SHAE,Undirected,566,,,122
DAENERYS,SPICE_KING,Undirected,568,,,58
DAVOS,MATTHOS,Undirected,569,,,59
MELISANDRE,STANNIS,Undirected,570,,,171
BRIENNE,CATELYN,Undirected,573,,,73
BRIENNE,JAIME,Undirected,575,,,397
PYCELLE,TYRION,Undirected,576,,,64
DAGMER,THEON,Undirected,577,,,48
ALTON,JAIME,Undirected,581,,,48
DAVOS,MELISANDRE,Undirected,583,,,183
JANOS,TYRION,Undirected,586,,,39
LORAS,TYRION,Undirected,588,,,51
LANCEL,TYRION,Undirected,590,,,37
PODRICK,TYRION,Undirected,591,,,186
MARGAERY,RENLY,Undirected,593,,,39
EDDISON_TOLLETT,SAM,Undirected,594,,,72
ROBB,ROOSE_BOLTON,Undirected,596,,,51
BRIENNE,RENLY,Undirected,599,,,39
DAENERYS,KOVARRO,Undirected,600,,,31
CATELYN,RENLY,Undirected,602,,,30
CRASTER,JEOR,Undirected,604,,,46
LITTLEFINGER,MARGAERY,Undirected,608,,,28
QHORIN,YGRITTE,Undirected,610,,,28
DAVOS,SALLADHOR,Undirected,612,,,69
EDDISON_TOLLETT,GRENN,Undirected,613,,,70
CERSEI,TOMMEN,Undirected,615,,,160
SANSA,TYRION,Undirected,616,,,249
GILLY,SAM,Undirected,619,,,392
DAENERYS,PYATT_PREE,Undirected,621,,,23
LORAS,MARGAERY,Undirected,622,,,115
ALTON,ROBB,Undirected,624,,,22
ROS,VARYS,Undirected,626,,,47
